Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
TOP-16-023 | PRE-APP | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0
TOP-17-001 | AWG | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
TOP-17-002 | AWG | Run2 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 3 | 2 | 2 | 2 | 0 | 0 | 0 | 2 | 1 | 1 | 1
TOP-17-003 | PRE-APP | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
TOP-17-004 | AWG | Run2 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 6 | 6 | 6 | 6 | 0 | 0 | 0 | 1 | 1 | 1 | 1
TOP-17-005 | PRE-APP | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 4 | 2 | 0 | 0 | 20 | 3 | 0 | 3 | 2 | 0 | 0 | 6 | 2 | 0 | 2
TOP-17-006 | AWG | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRG-12-001 | PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 5 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-09-001 | AWG | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-10-001 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 3 | 2 | 2 | 1 | 4 | 2 | 1 | 1 | 14 | 4 | 4 | 2 | 0 | 0 | 0 | 9 | 4 | 4 | 2
TRK-10-002 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 1 | 1 | 4 | 2 | 2 | 1 | 11 | 7 | 7 | 2 | 1 | 0 | 0 | 8 | 5 | 5 | 2
TRK-10-003 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 3 | 2 | 0 | 0 | 6 | 3 | 2 | 2 | 0 | 0 | 0 | 5 | 3 | 2 | 2
TRK-10-004 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 3 | 3 | 2 | 2 | 4 | 3 | 3 | 2 | 39 | 22 | 12 | 9 | 1 | 0 | 0 | 18 | 10 | 9 | 7
TRK-10-005 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 1 | 1 | 0 | 5 | 1 | 1 | 1 | 8 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 0
TRK-11-001 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 18 | 8 | 8 | 4 | 0 | 0 | 0 | 13 | 4 | 4 | 2
TRK-11-002 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
TRK-11-003 | Inactive | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-13-001 | Free | Run1 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 0 | 14 | 2 | 1 | 0 | 0 | 0 | 0 | 8 | 2 | 1 | 0
TRK-15-001 | Free | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-15-002 | ReSubmitted | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-17-001 | Free | Run2 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
