Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
EXO-11-059 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
EXO-11-060 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 7 | 4 | 4 | 2 | 0 | 0 | 0 | 5 | 2 | 2 | 1
EXO-11-061 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
EXO-11-062 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-063 | Inactive | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-064 | Inactive | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-065 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 1 | 1 | 1 | 0 | 24 | 23 | 22 | 8 | 1 | 0 | 0 | 5 | 4 | 3 | 3
EXO-11-066 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 2 | 1 | 1 | 0 | 9 | 2 | 2 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
EXO-11-067 | PUB | Run1 | 1 | 1 | 0 | 1 | 0 | 0 | 6 | 3 | 3 | 0 | 1 | 1 | 0 | 0 | 5 | 4 | 2 | 1 | 0 | 0 | 0 | 5 | 4 | 2 | 1
EXO-11-068 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 0 | 1 | 4 | 3 | 2 | 2 | 0 | 0 | 0 | 3 | 2 | 1 | 2
EXO-11-069 | Inactive | Run1 | - | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-070 | Inactive | Run1 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 3 | 0 | 0 | 0 | 1 | 1 | 1 | 1
EXO-11-071 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 3 | 3 | 1 | 1 | 1 | 1 | 0 | 6 | 2 | 2 | 1 | 0 | 0 | 0 | 4 | 1 | 1 | 1
EXO-11-072 | Inactive | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-073 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
EXO-11-074 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 3 | 3 | 1 | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 0
EXO-11-075 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 8 | 4 | 4 | 1 | 0 | 0 | 0 | 5 | 2 | 2 | 1
EXO-11-076 | PUB | Run1 | 1 | 1 | 0 | 1 | 0 | 0 | 5 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-077 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-078 | SUPERSEDED | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
EXO-11-079 | Inactive | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-080 | Inactive | Run1 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-081 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 1 | 0 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 0
EXO-11-082 | Inactive | Run1 | - | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-083 | Inactive | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-084 | Inactive | Run1 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-085 | SUPERSEDED | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 3 | 3 | 0 | 1 | 1 | 1 | 1 | 9 | 4 | 4 | 3 | 0 | 0 | 0 | 5 | 2 | 2 | 2
EXO-11-086 | SUPERSEDED | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 1 | 1 | 0 | 0 | 7 | 4 | 4 | 1
EXO-11-087 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 3 | 0 | 0 | 0 | 11 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
EXO-11-088 | SUPERSEDED | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 9 | 9 | 8 | 5 | 1 | 0 | 0 | 5 | 5 | 4 | 3
EXO-11-089 | Inactive | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-090 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 3 | 3 | 1 | 1 | 1 | 1 | 0 | 4 | 4 | 4 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 1
EXO-11-091 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 3 | 2 | 0 | 2 | 1 | 1 | 0 | 17 | 7 | 7 | 4 | 0 | 0 | 0 | 4 | 2 | 2 | 2
EXO-11-092 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 1 | 1 | 1 | 1 | 1 | 0 | 7 | 5 | 5 | 2 | 0 | 0 | 0 | 4 | 2 | 2 | 2
EXO-11-093 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 1 | 1 | 1 | 1 | 1 | 0 | 7 | 5 | 5 | 2 | 0 | 0 | 0 | 4 | 2 | 2 | 2
EXO-11-094 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 11 | 3 | 3 | 1 | 0 | 0 | 0 | 10 | 3 | 3 | 1
EXO-11-095 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 7 | 4 | 4 | 2 | 0 | 0 | 0 | 5 | 2 | 2 | 2
EXO-11-096 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 5 | 4 | 1 | 3 | 3 | 3 | 2 | 50 | 31 | 31 | 21 | 5 | 0 | 1 | 13 | 7 | 7 | 7
EXO-11-097 | Inactive | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-098 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
EXO-11-099 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 5 | 4 | 3 | 2 | 2 | 2 | 2 | 1 | 23 | 17 | 16 | 9 | 3 | 0 | 0 | 13 | 7 | 6 | 5
EXO-11-100 | Inactive | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-11-101 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 4 | 4 | 2 | 1 | 0 | 0 | 0 | 15 | 9 | 8 | 2 | 0 | 0 | 0 | 10 | 5 | 4 | 2
EXO-11-102 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 6 | 3 | 3 | 2 | 1 | 0 | 0 | 5 | 2 | 2 | 2
EXO-12-001 | PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 5 | 3 | 2 | 0 | 3 | 3 | 2 | 2 | 20 | 18 | 15 | 6 | 1 | 0 | 0 | 9 | 8 | 6 | 4
EXO-12-002 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 1 | 5 | 1 | 1 | 0 | 2 | 2 | 2 | 2 | 11 | 5 | 5 | 4 | 2 | 0 | 0 | 7 | 3 | 3 | 3
EXO-12-003 | SUPERSEDED | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 1 | 1
EXO-12-004 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 0 | 1 | 0 | 0 | 0 | 8 | 3 | 3 | 2 | 0 | 0 | 0 | 3 | 2 | 2 | 2
EXO-12-005 | Inactive | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 2 | 2 | 2 | 1 | 1 | 1 | 0 | 5 | 4 | 4 | 1 | 0 | 0 | 0 | 3 | 2 | 2 | 1
EXO-12-006 | Inactive | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-12-007 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 4 | 4 | 2 | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 3 | 0 | 0 | 0 | 1 | 1 | 1 | 1
EXO-12-008 | Thesis-Approved | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 2 | 2 | 1 | 2
EXO-12-009 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 8 | 4 | 3 | 1 | 0 | 0 | 0 | 6 | 3 | 2 | 1
EXO-12-010 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 0 | 4 | 0 | 0 | 0 | 21 | 1 | 1 | 0 | 0 | 0 | 0 | 6 | 1 | 1 | 0
EXO-12-011 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 13 | 3 | 3 | 1 | 1 | 0 | 1 | 9 | 2 | 2 | 1
EXO-12-012 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 3 | 0 | 0 | 0 | 1 | 1 | 1 | 1
EXO-12-013 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
EXO-12-014 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-12-015 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 2 | 3 | 1 | 1 | 0 | 29 | 12 | 9 | 7 | 0 | 0 | 0 | 15 | 7 | 5 | 6
EXO-12-016 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 2 | 0 | 0 | 0 | 19 | 8 | 8 | 5 | 0 | 0 | 0 | 13 | 5 | 5 | 5
EXO-12-017 | SUPERSEDED | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 3 | 2 | 1 | 1 | 2 | 2 | 2 | 0 | 13 | 11 | 11 | 7 | 0 | 0 | 0 | 3 | 2 | 2 | 2
EXO-12-018 | SUPERSEDED | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 9 | 9 | 9 | 7 | 2 | 0 | 0 | 5 | 5 | 5 | 4
EXO-12-019 | Planned | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1
EXO-12-020 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 2 | 0 | 0 | 0 | 3 | 2 | 2 | 2
EXO-12-021 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 2 | 1 | 2 | 2 | 1 | 1 | 1 | 17 | 3 | 3 | 1 | 0 | 0 | 0 | 11 | 2 | 2 | 1
EXO-12-022 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
EXO-12-023 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 10 | 4 | 4 | 3 | 0 | 0 | 0 | 6 | 3 | 3 | 2
EXO-12-024 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 7 | 4 | 4 | 3 | 0 | 0 | 0 | 6 | 3 | 3 | 3
EXO-12-025 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 5 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 6 | 4 | 4 | 2 | 0 | 0 | 0 | 5 | 3 | 3 | 2
EXO-12-026 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 4 | 4 | 2 | 1 | 0 | 0 | 0 | 14 | 9 | 6 | 3 | 0 | 0 | 0 | 8 | 4 | 3 | 2
EXO-12-027 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
EXO-12-028 | SUPERSEDED | Run1 | 1 | 0 | 0 | 0 | 0 | 0 | 4 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
EXO-12-029 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
EXO-12-030 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0
EXO-12-031 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
EXO-12-032 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 1 | 5 | 3 | 2 | 0 | 1 | 0 | 0 | 0 | 5 | 2 | 2 | 2 | 1 | 0 | 0 | 5 | 2 | 2 | 2
EXO-12-033 | PAS-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
EXO-12-034 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 4 | 4 | 0 | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 0 | 0 | 2 | 2 | 2 | 1
EXO-12-035 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 5 | 4 | 4 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1
EXO-12-036 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 4 | 3 | 1 | 1 | 1 | 1 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0
EXO-12-037 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 5 | 2 | 1 | 0 | 2 | 1 | 1 | 1 | 19 | 11 | 11 | 5 | 0 | 0 | 0 | 10 | 5 | 5 | 4
EXO-12-038 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 10 | 5 | 5 | 1 | 0 | 0 | 0 | 5 | 2 | 2 | 1
EXO-12-039 | Inactive | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 1 | 1 | 0 | 2 | 2 | 2 | 2 | 4 | 4 | 4 | 4 | 0 | 0 | 0 | 2 | 2 | 2 | 2
EXO-12-040 | Started | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-12-041 | PUB | Run1 | 1 | 1 | 0 | 1 | 0 | 1 | 5 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 1 | 2 | 0 | 0 | 0 | 3 | 2 | 1 | 1
EXO-12-042 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 0 | 1 | 4 | 4 | 4 | 1 | 1 | 1 | 0 | 1 | 3 | 3 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 1
EXO-12-043 | PUB | Run1 | 0 | 0 | 0 | 1 | 0 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 4 | 4 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1
EXO-12-044 | SUPERSEDED | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-12-045 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 8 | 8 | 2 | 3 | 0 | 0 | 0 | 5 | 5 | 2 | 2
EXO-12-046 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 1 | 1
EXO-12-047 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 1 | 5 | 4 | 3 | 0 | 1 | 1 | 1 | 1 | 10 | 6 | 5 | 5 | 1 | 0 | 0 | 9 | 6 | 5 | 5
EXO-12-048 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 11 | 4 | 4 | 3 | 0 | 0 | 0 | 10 | 4 | 4 | 3
EXO-12-049 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 6 | 3 | 3 | 2 | 0 | 0 | 0 | 5 | 2 | 2 | 1
EXO-12-050 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 6 | 4 | 4 | 2 | 0 | 0 | 0 | 4 | 2 | 2 | 1
EXO-12-051 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 1 | 0 | 1 | 1 | 0 | 1 | 5 | 4 | 3 | 3 | 0 | 0 | 0 | 3 | 2 | 1 | 2
EXO-12-052 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 13 | 11 | 11 | 8 | 0 | 0 | 0 | 5 | 3 | 3 | 3
EXO-12-053 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 3 | 3 | 0 | 0 | 0 | 17 | 4 | 4 | 2 | 0 | 0 | 0 | 9 | 2 | 2 | 2
EXO-12-054 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 7 | 2 | 0 | 1 | 0 | 0 | 1 | 5 | 1 | 0 | 1
EXO-12-055 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 17 | 13 | 4 | 2 | 0 | 0 | 0 | 6 | 3 | 2 | 2
EXO-12-056 | Inactive | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 14 | 12 | 12 | 3 | 1 | 0 | 0 | 5 | 3 | 3 | 1
EXO-12-057 | PUB | Run1 | 1 | 1 | 0 | 1 | 0 | 0 | 5 | 3 | 3 | 0 | 1 | 1 | 0 | 0 | 8 | 3 | 2 | 2 | 0 | 0 | 0 | 4 | 2 | 1 | 1
EXO-12-058 | Planned | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-12-059 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 13 | 3 | 3 | 2 | 0 | 0 | 0 | 12 | 2 | 2 | 2
EXO-12-060 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0
EXO-12-061 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 6 | 3 | 2 | 2 | 5 | 2 | 1 | 2 | 55 | 20 | 17 | 10 | 1 | 0 | 0 | 22 | 11 | 9 | 9
EXO-13-001 | ACCEPT | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 1 | 0 | 1 | 1 | 1 | 0 | 10 | 3 | 3 | 1 | 0 | 0 | 0 | 7 | 2 | 2 | 1
EXO-13-002 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 0 | 1 | 0 | 0 | 0 | 7 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0
EXO-13-003 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 4 | 2 | 1 | 1 | 0 | 0 | 0 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
EXO-13-004 | SUPERSEDED | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0
EXO-13-005 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 3 | 2 | 2 | 0 | 8 | 2 | 2 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0
EXO-13-006 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 17 | 9 | 6 | 3 | 0 | 0 | 0 | 9 | 4 | 3 | 2
EXO-13-007 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 5 | 4 | 1 | 1 | 0 | 0 | 0 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0
EXO-13-008 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 5 | 5 | 2 | 2 | 2 | 2 | 0 | 13 | 11 | 11 | 7 | 0 | 1 | 1 | 3 | 2 | 2 | 2
EXO-13-009 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 2 | 0 | 0 | 0 | 17 | 2 | 2 | 1 | 0 | 0 | 0 | 11 | 2 | 2 | 1
EXO-13-010 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 4 | 3 | 3 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0
EXO-14-001 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0
