Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
TOP-13-014 | PAS-only-PUB | 0 | 0 | 1 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-13-015 | ACCEPT | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 0 | 0
TOP-13-016 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 2 | 0 | 0 | 7 | 0 | 0 | 1 | 0 | 0
TOP-13-017 | ACCEPT | 0 | 0 | 1 | 1 | 5 | 1 | 1 | 2 | 2 | 2 | 7 | 6 | 6 | 3 | 2 | 2
TOP-14-001 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 0 | 0
TOP-14-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
TOP-14-003 | ACCEPT | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0
TOP-14-004 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 5 | 0 | 0 | 4 | 0 | 0
TOP-14-005 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 0 | 0
TOP-14-006 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-14-007 | PUB | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 2 | 0 | 0 | 38 | 1 | 1 | 11 | 1 | 1
TOP-14-008 | CWR-ended | 0 | 0 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 6 | 6 | 6 | 3 | 2 | 2
TOP-14-009 | PAS-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-14-010 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 4 | 4 | 4 | 1 | 1 | 1
