Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
B2G-12-001 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-12-003 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 1 | 1 | 1 | 10 | 4 | 4 | 5 | 2 | 2
B2G-12-004 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 7 | 4 | 4 | 7 | 4 | 4
B2G-12-005 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 9 | 9 | 9 | 5 | 5 | 5
B2G-12-006 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 3 | 1 | 2 | 1 | 1 | 15 | 4 | 4 | 7 | 1 | 1
B2G-12-007 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 2 | 0 | 1 | 1 | 1 | 3 | 3 | 3 | 2 | 1 | 1
B2G-12-008 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1
B2G-12-009 | PUB | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 10 | 8 | 8 | 7 | 5 | 5
B2G-12-010 | PUB | 1 | 0 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 9 | 9 | 9 | 4 | 4 | 4
B2G-12-011 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-012 | PUB | 1 | 1 | 1 | 1 | 5 | 4 | 3 | 1 | 1 | 1 | 5 | 5 | 5 | 4 | 3 | 3
B2G-12-013 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 5 | 3 | 3 | 4 | 2 | 2
B2G-12-014 | PUB | 1 | 1 | 0 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 4 | 1 | 0 | 3 | 1 | 0
B2G-12-015 | PUB | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 14 | 14 | 14 | 6 | 4 | 4
B2G-12-016 | CWR-ended | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 2 | 1 | 1 | 15 | 6 | 6 | 9 | 3 | 3
B2G-12-017 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 17 | 9 | 9 | 11 | 5 | 5
B2G-12-018 | Inactive | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-019 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 3 | 1 | 1 | 1 | 1 | 8 | 5 | 5 | 8 | 4 | 4
B2G-12-020 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 4 | 4 | 1 | 0 | 0 | 5 | 1 | 0 | 4 | 1 | 0
B2G-12-021 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 1 | 7 | 1 | 1 | 3 | 1 | 1
B2G-12-022 | PUB | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 1 | 1 | 1 | 5 | 3 | 3 | 4 | 3 | 3
B2G-12-023 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-12-024 | PUB | 1 | 1 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 7 | 4 | 4 | 4 | 2 | 2
B2G-12-025 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
B2G-13-001 | PUB | 1 | 1 | 0 | 0 | 4 | 4 | 1 | 4 | 3 | 3 | 47 | 26 | 26 | 12 | 6 | 6
B2G-13-002 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 7 | 0 | 0 | 4 | 0 | 0
B2G-13-003 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 2 | 1 | 3 | 2 | 2 | 50 | 39 | 39 | 7 | 4 | 4
B2G-13-004 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-13-005 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-13-006 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
B2G-13-007 | Inactive | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 3 | 0 | 0 | 20 | 2 | 0 | 5 | 1 | 0
B2G-13-008 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 3 | 3 | 3 | 3 | 21 | 12 | 12 | 9 | 6 | 6
B2G-14-001 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 1 | 1 | 4 | 1 | 1 | 3 | 1 | 1
B2G-14-002 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 4 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 0 | 0
B2G-14-003 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1 | 0 | 0 | 4 | 0 | 0 | 4 | 0 | 0
B2G-14-004 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 4 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0
B2G-14-005 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 4 | 3 | 2 | 17 | 5 | 4 | 7 | 3 | 2
B2G-14-006 | Inactive | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-14-007 | SUPERSEDED | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 0 | 0
B2G-15-001 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-15-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 9 | 3 | 3 | 4 | 1 | 1
B2G-15-003 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
B2G-15-004 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 1 | 1 | 1 | 7 | 4 | 4 | 3 | 2 | 2
B2G-15-005 | SUPERSEDED | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 46 | 25 | 14 | 14 | 6 | 5
B2G-15-006 | CWR-ended | 0 | 0 | 1 | 1 | 5 | 1 | 1 | 4 | 4 | 4 | 29 | 29 | 29 | 2 | 2 | 2
B2G-15-007 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 27 | 18 | 9 | 7 | 3 | 2
B2G-15-008 | ReSubmitted | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 0 | 0 | 5 | 0 | 0 | 1 | 0 | 0
B2G-16-001 | RefComments | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0
B2G-16-002 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 7 | 7 | 7 | 2 | 2 | 2
B2G-16-003 | ACCEPT | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 15 | 1 | 0 | 7 | 1 | 0
B2G-16-004 | RefComments | 1 | 1 | 0 | 0 | 5 | 4 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-16-005 | RefComments | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 8 | 8 | 8 | 1 | 1 | 1
B2G-16-006 | RefComments | 1 | 1 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 3 | 1 | 1 | 3 | 1 | 1
B2G-16-007 | CWR-ended | 1 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-16-008 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 1 | 1 | 3 | 1 | 1 | 25 | 8 | 8 | 11 | 4 | 4
B2G-16-009 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 3 | 2 | 2
B2G-16-010 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 2 | 0 | 0 | 7 | 0 | 0 | 5 | 0 | 0
B2G-16-011 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 1 | 0 | 0
B2G-16-012 | AWG | 0 | 0 | 1 | 1 | 4 | 3 | 3 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
B2G-16-013 | FinalReading | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
B2G-16-014 | ARC-GreenLight | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-16-015 | CWR-ended | 1 | 0 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
B2G-16-016 | CWR-ended | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 10 | 7 | 7 | 5 | 4 | 4
B2G-16-017 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 3 | 2 | 2
B2G-16-018 | AWG | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 9 | 2 | 2 | 4 | 1 | 1
B2G-16-019 | ARC-GreenLight | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 7 | 7 | 7 | 2 | 2 | 2
B2G-16-020 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-16-021 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
B2G-16-022 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 2 | 0 | 0 | 58 | 19 | 18 | 20 | 7 | 6
B2G-16-023 | PRE-APP | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 2 | 2 | 2 | 13 | 11 | 11 | 5 | 3 | 3
B2G-16-024 | PUB-Draft | 1 | 1 | 1 | 1 | 5 | 2 | 2 | 3 | 2 | 2 | 18 | 10 | 10 | 3 | 2 | 2
B2G-16-025 | PRE-APP | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-16-026 | PRE-APP | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 1 | 1 | 1 | 19 | 7 | 7 | 10 | 5 | 5
B2G-16-027 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 5 | 0 | 0 | 2 | 0 | 0
B2G-16-028 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-16-029 | GoingToPreApp | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 2 | 1 | 0 | 5 | 1 | 0 | 3 | 1 | 0
B2G-17-001 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 4 | 0 | 0
B2G-17-002 | ARC-GreenLight | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 11 | 5 | 5 | 6 | 4 | 4
B2G-17-003 | PRE-APP | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 13 | 7 | 7 | 7 | 3 | 3
B2G-17-004 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
B2G-17-005 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 7 | 0 | 0 | 2 | 0 | 0
B2G-17-006 | GoingToPreApp | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
B2G-17-007 | ARC-GreenLight | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-17-008 | GoingToPreApp | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 1 | 1 | 1 | 6 | 6 | 6 | 2 | 2 | 2
B2G-17-009 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-17-010 | PRE-APP | 0 | 0 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 6 | 3 | 3 | 3 | 2 | 2
B2G-17-011 | GoingToPreApp | - | - | 1 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 17 | 17 | 17 | 3 | 3 | 3
B2G-17-012 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 5 | 5 | 5 | 5 | 3 | 3
BPH-07-001 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
BPH-07-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 1 | 1 | 0 | 6 | 1 | 1 | 3 | 1 | 1
BPH-07-003 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-07-004 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
BPH-08-001 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-002 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-003 | Thesis-Approved | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-004 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-005 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-006 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-007 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-008 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-009 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-010 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-011 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-001 | PAS-only-PUB | 1 | 0 | 1 | 1 | 3 | 2 | 1 | 1 | 1 | 1 | 2 | 2 | 2 | 2 | 2 | 2
BPH-09-002 | Completed | 1 | 0 | 0 | 0 | 3 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-003 | Completed | 1 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-004 | Completed | 1 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-005 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-006 | Completed | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-007 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-008 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-10-001 | Thesis-Approved | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-10-002 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 2 | 0 | 0 | 60 | 43 | 30 | 29 | 16 | 12
BPH-10-003 | PUB | 0 | 0 | 1 | 1 | 5 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
BPH-10-004 | PUB | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1
BPH-10-005 | PUB | 1 | 0 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 3 | 2 | 2 | 3 | 2 | 2
BPH-10-006 | Inactive | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-10-007 | PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 3 | 0 | 0 | 22 | 2 | 2 | 8 | 1 | 1
BPH-10-008 | PAS-only-PUB | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 2 | 1 | 0
BPH-10-009 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 3 | 0 | 0 | 37 | 0 | 0 | 9 | 0 | 0
BPH-10-010 | PUB | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 8 | 1 | 1 | 5 | 1 | 1
BPH-10-011 | SUPERSEDED | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 3 | 0 | 0 | 6 | 2 | 2 | 5 | 1 | 1
BPH-10-012 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 24 | 16 | 8 | 11 | 6 | 5
BPH-10-013 | PUB | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 1 | 0 | 3 | 1 | 0 | 3 | 1 | 0
BPH-10-014 | PUB | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 4 | 0 | 0
BPH-10-015 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 0 | 0 | 8 | 1 | 1 | 5 | 1 | 1
BPH-10-016 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 6 | 1 | 1 | 3 | 1 | 1
BPH-10-017 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-10-018 | PAS-only-PUB | 1 | 0 | 0 | 0 | 4 | 3 | 1 | 1 | 0 | 0 | 15 | 5 | 5 | 11 | 4 | 4
BPH-10-019 | PAS-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 3 | 2 | 2 | 2 | 1 | 1
BPH-10-020 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1
BPH-11-001 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 1 | 1 | 0 | 0 | 6 | 5 | 5 | 4 | 3 | 3
BPH-11-002 | PUB | 1 | 1 | 0 | 0 | 4 | 4 | 4 | 1 | 0 | 0 | 6 | 1 | 1 | 4 | 1 | 1
BPH-11-003 | PAS-only-PUB | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 5 | 0 | 0 | 2 | 0 | 0
BPH-11-004 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 4 | 2 | 2 | 3 | 2 | 2
BPH-11-005 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
BPH-11-006 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 4 | 1 | 0 | 4 | 1 | 0
BPH-11-007 | PUB | 0 | 0 | 1 | 1 | 5 | 1 | 0 | 1 | 1 | 1 | 3 | 3 | 3 | 2 | 2 | 2
BPH-11-008 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-11-009 | PUB | 0 | 0 | 1 | 0 | 5 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-11-010 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 5 | 0 | 0 | 2 | 0 | 0
BPH-11-011 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 0 | 0 | 19 | 5 | 5 | 13 | 4 | 4
BPH-11-012 | Thesis-Approved | 0 | 0 | 1 | 0 | 4 | 2 | 2 | 1 | 1 | 1 | 24 | 16 | 8 | 11 | 6 | 5
BPH-11-013 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 2 | 2 | 2 | 4 | 2 | 2 | 2 | 1 | 1
BPH-11-014 | SUPERSEDED | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 2 | 0 | 0 | 7 | 2 | 2 | 4 | 2 | 2
BPH-11-015 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-11-016 | PUB | 0 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 4 | 1 | 0 | 2 | 1 | 0
BPH-11-017 | PAS-only-PUB | 1 | 1 | 0 | 0 | 5 | 4 | 4 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-11-018 | Thesis-Approved | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1
BPH-11-019 | SUPERSEDED | 1 | 1 | 0 | 0 | 3 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-11-020 | PUB | 1 | 1 | 0 | 0 | 5 | 5 | 5 | 1 | 0 | 0 | 8 | 1 | 1 | 3 | 1 | 1
BPH-11-021 | PUB | 0 | 0 | 1 | 0 | 5 | 2 | 2 | 4 | 2 | 1 | 23 | 15 | 11 | 10 | 6 | 4
BPH-11-022 | PUB | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 2 | 1 | 0 | 18 | 1 | 0 | 9 | 1 | 0
BPH-11-023 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 4 | 0 | 0 | 17 | 4 | 4 | 7 | 2 | 2
BPH-11-024 | Planned | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-11-025 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0
BPH-11-026 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 3 | 2 | 2 | 31 | 19 | 19 | 9 | 5 | 5
BPH-12-001 | PUB | 0 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-12-002 | Thesis-Approved | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-12-003 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-12-004 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-12-005 | Completed | 1 | 1 | 0 | 0 | 4 | 4 | 4 | 1 | 0 | 0 | 9 | 0 | 0 | 1 | 0 | 0
BPH-12-006 | PUB | 1 | 0 | 1 | 1 | 4 | 2 | 1 | 2 | 1 | 1 | 7 | 3 | 3 | 5 | 2 | 2
BPH-12-007 | Inactive | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
BPH-12-008 | Free | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-12-009 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 4 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-12-010 | SUPERSEDED | 1 | 1 | 0 | 0 | 5 | 5 | 4 | 2 | 0 | 0 | 28 | 0 | 0 | 1 | 0 | 0
BPH-12-011 | PUB | 1 | 1 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
BPH-13-001 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 9 | 0 | 0 | 1 | 0 | 0
BPH-13-002 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 8 | 0 | 0 | 3 | 0 | 0
BPH-13-003 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 4 | 0 | 0 | 17 | 4 | 4 | 7 | 2 | 2
BPH-13-004 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 4 | 3 | 0 | 0 | 33 | 3 | 3 | 9 | 3 | 3
BPH-13-005 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 0 | 0 | 9 | 1 | 1 | 5 | 1 | 1
BPH-13-006 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-13-007 | PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-13-008 | PRE-APP | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 5 | 0 | 0 | 16 | 0 | 0 | 5 | 0 | 0
BPH-13-009 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 17 | 14 | 14 | 7 | 4 | 4
