Code | Status | Samples | Name | Date | CADI Contact | CADI Contact Institute | CADI Contact Country | ARC Chair | ARC Chair Institute | ARC Chair Country | ARC Member 1 name | ARC Member 1 Institute | ARC Member 1 Country | ARC Member 2 name | ARC Member 2 Institute | ARC Member 2 Country | ARC Member 3 name | ARC Member 3 Institute | ARC Member 3 Country | ARC Member 4 name | ARC Member 4 Institute | ARC Member 4 Country | ARC Member 5 name | ARC Member 5 Institute | ARC Member 5 Country | ARC Member 6 name | ARC Member 6 Institute | ARC Member 6 Country | ARC Member 7 name | ARC Member 7 Institute | ARC Member 7 Country | ARC Member 8 name | ARC Member 8 Institute | ARC Member 8 Country | ARC Member 9 name | ARC Member 9 Institute | ARC Member 9 Country | ARC Member 10 name | ARC Member 10 Institute | ARC Member 10 Country | ARC Member 11 name | ARC Member 11 Institute | ARC Member 11 Country | ARC Member 12 name | ARC Member 12 Institute | ARC Member 12 Country | ARC Member 13 name | ARC Member 13 Institute | ARC Member 13 Country | ARC Member 14 name | ARC Member 14 Institute | ARC Member 14 Country | ARC Member 15 name | ARC Member 15 Institute | ARC Member 15 Country | Total # of ARC Members | Total # of ARC Members from USA  | AN 1 # | AN 1 Submitter | AN 1 Submitter Institute | AN 1 Submitter Country | AN 2 # | AN 2 Submitter | AN 2 Submitter Institute | AN 2 Submitter Country | AN 3 # | AN 3 Submitter | AN 3 Submitter Institute | AN 3 Submitter Country | AN 4 # | AN 4 Submitter | AN 4 Submitter Institute | AN 4 Submitter Country | AN 5 # | AN 5 Submitter | AN 5 Submitter Institute | AN 5 Submitter Country | AN 6 # | AN 6 Submitter | AN 6 Submitter Institute | AN 6 Submitter Country | AN 7 # | AN 7 Submitter | AN 7 Submitter Institute | AN 7 Submitter Country | AN 8 # | AN 8 Submitter | AN 8 Submitter Institute | AN 8 Submitter Country | AN 9 # | AN 9 Submitter | AN 9 Submitter Institute | AN 9 Submitter Country | AN 10 # | AN 10 Submitter | AN 10 Submitter Institute | AN 10 Submitter Country | AN 11 # | AN 11 Submitter | AN 11 Submitter Institute | AN 11 Submitter Country | AN 12 # | AN 12 Submitter | AN 12 Submitter Institute | AN 12 Submitter Country | AN 13 # | AN 13 Submitter | AN 13 Submitter Institute | AN 13 Submitter Country | AN 14 # | AN 14 Submitter | AN 14 Submitter Institute | AN 14 Submitter Country | AN 15 # | AN 15 Submitter | AN 15 Submitter Institute | AN 15 Submitter Country | Total # of AN | Total # of AN Submitters from US
B2G-12-001 | Free | Run1 | Search for t&#039; pair production in the dilepton channel
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Victor Eduardo Bazterra | CHICAGO | USA | Kevin Patrick Lannon | NOTRE_DAME | USA | Kevin Patrick Lannon | NOTRE_DAME | USA | Stephen Wimpenny | UCRIVERSIDE | USA | Denis Gele | STRASBOURG | France | Kenichi Hatakeyama | BAYLOR-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2012/277 | Bazterra Victor Eduardo | CHICAGO | USA | CMS AN-2012/488 | Sordini Viola | LYON | France |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2 | 1
B2G-12-007 | PAS-only-PUB | Run1 | Search for ttbar resonances in dileptonic final state
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Ia Iashvili | SUNY-BUFFALO | USA | Kevin Patrick Lannon | NOTRE_DAME | USA | Stephen Wimpenny | UCRIVERSIDE | USA | Didar Dobur | BRUXELLES-ULB | Belgium | Kevin Patrick Lannon | NOTRE_DAME | USA | Jeremy Andrea | STRASBOURG | France |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 2 | CMS AN-2012/420 | George Jimin | SUNY-BUFFALO | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-008 | PAS-only-PUB | Run1 | Search for pair production of new physics resonances decaying to a top quark and jet in the dilepton decay channel
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Lucas Winstrom | CORNELL | USA | Robert Cousins | UCLA | USA | Robert Cousins | UCLA | USA | Pedro Manuel Vieira de Castro Ferreira da Silva | CERN | Switzerland | Sunil Somalwar | RUTGERS | USA | Meenakshi Narain | BROWN-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2012/280 | Nicolas Kaufman Gala | CORNELL | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-009 | PUB | Run1 | Search for t + b resonances in all-hadronic final state
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Petar Maksimovic | JOHNS-HOPKINS | USA | Meenakshi Narain | BROWN-UNIV | USA | Meenakshi Narain | BROWN-UNIV | USA | Nhan Tran | FERMILAB | USA | Hongxuan Liu | BAYLOR-UNIV | USA | Kerstin Hoepfner | AACHEN-3A | Germany | David Anthony Petyt | RAL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 3 | CMS AN-2013/004 | Maksimovic Petar | JOHNS-HOPKINS | USA | CMS AN-2015/180 | Heintz Ulrich | BROWN-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2 | 2
B2G-12-010 | PUB | Run1 | Search for t + b resonances in leptonic final state
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Meenakshi Narain | BROWN-UNIV | USA | Stephen Wimpenny | UCRIVERSIDE | USA | Jochen Ott | KARLSRUHE-IEKP | Germany | Francisco Yumiceva | FLORIDA-TECH | USA | Bryan Dahmes | MINNESOTA | USA | Stephen Wimpenny | UCRIVERSIDE | USA | David Anthony Petyt | RAL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 3 | CMS AN-2012/493 | Bose Tulika | BOSTON-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-011 | Free | Run1 | Search for ttbar events with small MET
 | <div style="background-color:#FFDFBF;width:100%">Free</div> | Jordan Matthew Tucker | CORNELL | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
B2G-12-012 | PUB | Run1 | Search for T5/3 top partners in same-sign di-lepton final state
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Aram Avetisyan | BOSTON-UNIV | USA | Avraham Yagil | UCSD | USA | Avraham Yagil | UCSD | USA | Frederic Jean Ronga | ZURICH-ETH | Switzerland | Giovanni Franzoni | MINNESOTA | USA | Francisco Yumiceva | FLORIDA-TECH | USA | Paul Padley | RICE | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 4 | CMS AN-2012/491 | Bose Tulika | BOSTON-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-013 | PAS-only-PUB | Run1 | Search for top-quark partners decaying to bW in the all hadronic final state
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Charles Hermann Dietz | TAIPEI-NTU | Taiwan | Freya Blekman | BRUSSEL-VUB | Belgium | Kevin Patrick Lannon | NOTRE_DAME | USA | Andrey Ivanov | KANSAS-STATE | USA | Freya Blekman | BRUSSEL-VUB | Belgium | Angelo De Souza Santos | SAO_PAULO | Brazil |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 2 | CMS AN-2013/362 | Dietz Charles | TAIPEI-NTU | Taiwan |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-12-014 | PUB | Run1 | Search for pair production of new physics resonances decaying to a top quark and jet in the lepton+jets decay channel
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Ulysses Allen Grundler | TAIPEI-NTU | Taiwan | Meenakshi Narain | BROWN-UNIV | USA | Meenakshi Narain | BROWN-UNIV | USA | Pedro Manuel Vieira de Castro Ferreira da Silva | CERN | Switzerland | Kevin Patrick Lannon | NOTRE_DAME | USA | David Anthony Petyt | RAL | UnitedKingdom | Thomas Ferbel | ROCHESTER | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 3 | CMS AN-2012/435 | Grundler Ulysses | TAIPEI-NTU | Taiwan |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-12-015 | PUB | Run1 | Inclusive search for top partners in single- and multiple-lepton final states at sqrt(s)=8 TeV
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Meenakshi Narain | BROWN-UNIV | USA | Sunil Somalwar | RUTGERS | USA | Sunil Somalwar | RUTGERS | USA | Pedro Manuel Vieira de Castro Ferreira da Silva | CERN | Switzerland | Petar Maksimovic | JOHNS-HOPKINS | USA | Guenakh Mitselmakher | FLORIDA-UNIV | USA | Gregory Heath | BRISTOL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 3 | CMS AN-2013/028 | Luk Michael | BROWN-UNIV | USA | CMS AN-2013/006 | Bhattacharya Saptaparna | NORTHWESTERN | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2 | 2
B2G-12-016 | CWR-ended | Run1 | Search for massive vector-like quarks coupling to light quarks
 | <div style="background-color:#DFDF00;width:100%">CWR-ended</div> | Gerrit Patrick Van Onsem | BRUSSEL-VUB | Belgium | Stephanie Beauceron | LYON | France | Stephanie Beauceron | LYON | France | Gobinda Majumder | TIFR |  | Tae Jeong Kim | SEOUL-HANYANG |  | Alexander Schmidt | HAMBURG-UNIV | Germany | Joanne Cole | BRUNEL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 0 | CMS AN-2012/323 | Van Onsem Gerrit Patrick | DESY | Germany | CMS AN-2015/018 | Vorobiev Igor | CARNEGIE-MELLON | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2 | 1
B2G-12-017 | PAS-only-PUB | Run1 | Search for top quark partners with kinematic reconstruction in single-lepton final states
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Igor Vorobiev | CARNEGIE-MELLON | USA | Thomas Hebbeker | AACHEN-3A | Germany | Thomas Hebbeker | AACHEN-3A | Germany | Francesco Pandolfi | ZURICH-ETH | Switzerland | Francisco Yumiceva | FLORIDA-TECH | USA | Claudio Campagnari | UCSB | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 2 | CMS AN-2013/076 | Vorobiev Igor | CARNEGIE-MELLON | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-018 | Inactive | Run1 | Search for vector-like top quark partners produced in association with Higgs bosons decaying to ZZ
 | <div style="background-color:#FFE099;width:100%">Inactive</div> | Marta Felcini | SANTANDER | Spain |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
B2G-12-019 | PAS-only-PUB | Run1 | Search for vector-like bottom quark partners in single-lepton final states
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Sadia Khalil | KANSAS-STATE | USA | Kevin Patrick Lannon | NOTRE_DAME | USA | Joel Goldstein | BRISTOL | UnitedKingdom | Stephen Wimpenny | UCRIVERSIDE | USA | Kevin Patrick Lannon | NOTRE_DAME | USA | Seema Sharma | FERMILAB | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2012/438 | Khalil Sadia | KANSAS-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-020 | PAS-only-PUB | Run1 | Search for bottom quark partners in multi-lepton final states
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Yongjin Cho | SKK-UNIV | Korea | Meenakshi Narain | BROWN-UNIV | USA | Frank Golf | UCSB | USA | Lesya Shchutska | FLORIDA-UNIV | USA | Dmytro Kovalskyi | UCSD | USA | Meenakshi Narain | BROWN-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 4 | CMS AN-2013/106 | Cho Yongjin | SKK-UNIV | Korea |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-12-021 | PAS-only-PUB | Run1 | Search for a vector-like bottom quark partner decaying to bZ
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Devdatta Majumder | TAIPEI-NTU | Taiwan | Giovanni Organtini | ROMA-1 | Italy | Alessio Bonato | CERN | Switzerland | Giovanni Organtini | ROMA-1 | Italy | Tristan Arnoldus Du Pree | LOUVAIN | Belgium | Duncan Carlsmith | WISCONSIN | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 1 | CMS AN-2012/142 | Majumder Devdatta | KANSAS-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-022 | PUB | Run1 | Search for new physics in single top + missing transverse energy final states
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Khristian Kotov | OHIO-STATE | USA | Rebeca Gonzalez Suarez | NEBRASKA | USA | Rebeca Gonzalez Suarez | NEBRASKA | USA | Benjamin John Kilminster | ZURICH-UNIV | Switzerland | Aram Avetisyan | BOSTON-UNIV | USA | Sarah Alam Malik | ROCKEFELLER | USA | Peter Hobson | BRUNEL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 3 | CMS AN-2013/013 | Kotov Khristian | FLORIDA-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-023 | PUB | Run1 | Search for baryon-number violating top decays into 2 jets and 1 lepton
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Giacomo Bruno | LOUVAIN | Belgium | Robert Klanner | HAMBURG-UNIV | Germany | Jorgen D&#039;Hondt | BRUSSEL-VUB | Belgium | Robert Klanner | HAMBURG-UNIV | Germany | Teruki Kamon | TEXAS-TAMU | USA | David Anthony Petyt | RAL | UnitedKingdom | Leonard Spiegel | FERMILAB | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 2 | CMS AN-2013/018 | Bruno Giacomo | LOUVAIN | Belgium |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-12-024 | PUB | Run1 | Search for Displaced Supersymmetry in Dilepton Final States
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Louis James Antonelli | OHIO-STATE | USA | Sunil Somalwar | RUTGERS | USA | Sunil Somalwar | RUTGERS | USA | Giacomo Bruno | LOUVAIN | Belgium | Andrea Venturi | PISA | Italy | Anders Per Erik Ryd | CORNELL | USA | David Anthony Petyt | RAL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 2 | CMS AN-2012/468 | Antonelli Louis | OHIO-STATE | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-025 | PAS-only-PUB | Run1 | Search in two-dimensional mass space for T'T' to W'b W' b in the dilepton final state in proton-proton collisions at  8 TeV
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Georgios Anagnostou | DEMOKRITOS | Greece | Avraham Yagil | UCSD | USA | Avraham Yagil | UCSD | USA | Stephen Wimpenny | UCRIVERSIDE | USA | Cecilia Elena Gerber | CHICAGO | USA | James John Brooke | BRISTOL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2014/144 | Anagnostou Georgios | DEMOKRITOS | Greece |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-13-001 | PUB | Run1 | Search for ttbar resonances in all-hadronic and semileptonic final states in pp collisions at sqrt(s) = 8 TeV
