 Analysis code | AN Notes | # Authors | # Authors from USA | Institutes | # Institutes | # Insitutes from USA
HIG-16-034 | CMS AN-2016/252, CMS AN-2016/206 | 58 | 19 | FLORIDA-UNIV, UCLA, BEIJING-THU, WISCONSIN, CARNEGIE-MELLON, CERN, LYON, TORINO, ZURICH-UNIV, SPLIT-UNIV, PURDUE-CALUMET, #not_found#, JOHNS-HOPKINS, POLYTECHNIQUE, SAO_PAULO, BEIJING-IHEP, SPLIT-FESB, KOLKATA-SAHA, VIRGINIA-UNIV, PADOVA | 20 | 7
HIG-16-035 | CMS AN-2016/044 | 9 | 8 | RICE, TEXAS-TAMU, #not_found# | 3 | 2
HIG-16-036 | CMS AN-2016/147 | 1 | 1 | WISCONSIN | 1 | 1
HIG-16-037 | CMS AN-2016/274 | 13 | 0 | LONDON-IC, KARLSRUHE-IEKP, MILANO-BICOCCA, CERN, TALLINN, #not_found#, DESY | 7 | 0
HIG-16-038 | CMS AN-2016/310 | 36 | 11 | KARLSRUHE-IEKP, CORNELL, ZURICH-ETH, AACHEN-3A, OHIO-STATE, ZURICH-UNIV, #not_found#, DESY, BEIJING-IHEP, NOTRE_DAME, FERMILAB, VIRGINIA-UNIV | 12 | 5
HIG-16-039 | CMS AN-2016/325 | 6 | 0 | BRUXELLES-ULB, LOUVAIN, BEIJING-BUAA, DELHI-UNIV | 4 | 0
HIG-16-040 | CMS AN-2017/036 | 1 | 0 | #not_found# | 1 | 0
HIG-16-041 | CMS AN-2016/442 | 1 | 0 | #not_found# | 1 | 0
HIG-16-042 |  | 0 | 0 |  | 0 | 0
HIG-16-043 | CMS AN-2016/355, CMS AN-2016/387 | 18 | 10 | WISCONSIN, DESY, PRINCETON, ZURICH-UNIV, #not_found#, KANSAS-STATE, KARLSRUHE-IEKP | 7 | 3
HIG-16-044 | CMS AN-2015/168, CMS AN-2016/143 | 36 | 16 | FLORIDA-UNIV, PRINCETON, CERN, ZURICH-ETH, PEKING-UNIV, ZURICH-UNIV, PISA, FERMILAB | 8 | 3
HIG-17-001 | CMS AN-2016/441 | 9 | 6 | CERN, HAMBURG-UNIV, NOTRE_DAME, WISCONSIN, PROTVINO | 5 | 2
HIG-17-002 | CMS AN-2017/007 | 4 | 0 | #not_found# | 1 | 0
HIG-17-003 | CMS AN-2016/372, CMS AN-2016/363, CMS AN-2016/273 | 27 | 4 | CORNELL, NOTRE_DAME, TALLINN, NISER, #not_found#, POLYTECHNIQUE | 6 | 2
